City,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed (mph)
Norman Wells,65.282,-126.8329,-14.800000000000011,76,20,5.14
São Filipe,14.8961,-24.4956,70.95200000000006,73,19,5.71
Bambous Virieux,-20.3428,57.7575,82.99400000000009,66,87,4.02
Kloulklubed,7.0419,134.2556,85.99999999999994,70,75,6.17
Miranda,3.2499,-76.2281,71.59999999999997,83,75,2.06
Ambilobe,-13.2,49.05,79.44800000000004,84,96,1.31
Bereda,43.2686,-7.5406,51.656000000000006,99,100,3.13
Santarém,-2.4431,-54.7083,75.19999999999999,94,40,2.06
Maceió,-9.6658,-35.7353,75.19999999999999,94,75,4.45
Dwārka,22.2394,68.9678,75.52399999999994,43,100,2.9
Arraial do Cabo,-22.9661,-42.0278,73.39999999999992,82,78,1.39
Bafoulabé,13.8065,-10.8321,73.72399999999999,19,72,0.54
Menongue,-14.6585,17.691,59.57600000000008,79,95,1.84
Lima,-12.0432,-77.0282,75.07400000000001,69,0,2.57
Lufilufi,-13.8745,-171.5986,85.99999999999994,84,99,5.81
Kataysk,56.289,62.5841,-14.098000000000013,87,0,1.43
Lavrentiya,65.5833,-171.0,-27.291999999999973,79,0,4.25
Surgut,61.25,73.4167,-22.0,76,0,5.0
Khamaria,23.2167,79.8833,79.16000000000003,19,99,0.44
Pontianak,-0.0333,109.3333,89.59999999999997,58,40,2.06
Houma,29.5958,-90.7195,67.37000000000006,94,90,3.09
Aran,40.6253,46.9756,40.99999999999994,100,90,1.03
Kavieng,-2.5744,150.7967,82.18399999999991,78,88,3.99
Jales,-20.2689,-50.5458,69.27800000000008,72,36,2.08
Gamba,-2.65,10.0,77.57600000000008,90,49,0.33
Khatanga,71.9667,102.5,-22.161999999999978,83,2,1.76
Narsaq,60.9167,-46.05,33.799999999999955,27,75,14.4
Chokurdakh,70.6333,147.9167,-13.072000000000003,89,22,3.03
Winsford,53.1833,-2.5167,24.76400000000001,86,3,3.99
Fortuna,40.5982,-124.1573,44.23999999999995,100,1,1.45
Haines Junction,60.7522,-137.5108,-29.19999999999999,68,0,0.51
Kalāleh,37.3807,55.4916,48.19999999999993,71,0,2.15
Wasilla,61.5814,-149.4394,15.745999999999981,92,1,0.97
Anadyr,64.75,177.4833,-11.199999999999989,64,0,3.0
Námestovo,49.4079,19.4803,7.897999999999968,94,100,2.24
Cape Town,-33.9258,18.4232,66.84800000000001,88,0,3.6
Aktau,43.65,51.2,39.19999999999993,81,0,5.0
Saint-Philippe,-21.3585,55.7679,81.06800000000004,65,20,2.57
Polyarny,69.1989,33.4478,-4.0,84,40,1.0
Yarmouth,41.7057,-70.2286,26.653999999999996,54,90,4.14
Los Llanos de Aridane,28.6585,-17.9182,60.80000000000001,72,0,3.6
Airai,-8.9266,125.4092,72.32,88,99,1.59
Conceição do Araguaia,-8.2578,-49.2647,73.04000000000002,95,98,1.55
Atar,20.5169,-13.0499,63.22999999999996,24,0,4.59
Guerrero Negro,27.9769,-114.0611,56.38999999999993,79,49,6.41
Puerto Escondido,15.85,-97.0667,76.38799999999998,73,0,2.87
Orël-Izumrud,43.4583,39.9244,48.09199999999993,76,75,1.0
Morón,-34.6534,-58.6198,69.49400000000009,97,91,0.89
Codrington,-38.2667,141.9667,95.48600000000005,21,99,9.62
Kingman,35.1894,-114.053,45.733999999999924,42,1,3.6
Issoire,45.55,3.25,28.399999999999977,93,90,2.06
Gijang,35.2442,129.2139,53.599999999999966,30,0,1.03
Katsuura,35.1333,140.3,55.14799999999997,30,20,8.75
Waingapu,-9.6567,120.2641,86.39600000000002,68,93,4.57
Rocha,-34.4833,-54.3333,65.67800000000005,94,40,3.02
Calama,-22.4667,-68.9333,57.19999999999999,54,0,5.14
Semey,50.4111,80.2275,-5.800000000000011,71,40,3.0
Hajnówka,52.7433,23.5812,10.147999999999968,96,100,3.62
Hay River,60.8156,-115.7999,-20.19999999999999,76,49,2.57
Nederland,29.9744,-93.9924,66.70400000000001,100,90,1.54
Mugur-Aksy,50.35,90.5,1.183999999999969,69,20,2.19
Helong,42.5397,128.9972,44.023999999999944,56,48,1.33
Upernavik,72.7868,-56.1549,-1.6060000000000514,90,94,4.46
Saint Anthony,45.0205,-93.218,-4.036000000000001,59,1,4.63
Bafra,41.5678,35.9069,37.39999999999998,93,0,2.06
Provideniya,64.3833,-173.3,-11.199999999999989,64,0,9.0
Nouadhibou,20.931,-17.0347,62.599999999999966,77,0,7.72
Ust-Kuyga,70.0167,135.6,-13.161999999999978,82,0,3.29
Aksu,41.1231,80.2644,45.19400000000002,49,19,0.85
Alice Springs,-23.7,133.8833,96.80000000000001,32,0,8.23
Fare,-16.7,-151.0167,81.49999999999994,68,3,7.77
Pevek,69.7008,170.3133,-18.18399999999997,71,0,0.49
Lebu,-37.6167,-73.65,58.910000000000025,97,9,4.32
Parrita,9.5201,-84.3225,64.238,68,0,5.14
Vila Franca do Campo,37.7167,-25.4333,58.47800000000001,72,20,13.38
Meulaboh,4.1363,96.1285,86.70200000000006,63,97,1.38
Qaanaaq,77.484,-69.3632,7.141999999999939,77,95,4.98
Kattivākkam,13.2167,80.3167,79.33999999999997,47,52,2.77
Yangi Marg`ilon,40.4272,71.7189,48.19999999999993,81,54,2.06
Mandalgovi,45.7625,106.2708,25.91599999999994,74,31,9.53
Lagunas,-5.2269,-75.6753,74.74999999999994,95,100,0.45
Ushtobe,45.2514,77.9838,22.676000000000045,98,100,4.48
Margate,51.3813,1.3862,31.118000000000052,71,100,0.89
Sovetskiy,61.3614,63.5842,-21.47800000000001,85,0,1.57
Shitanjing,39.2342,106.3439,41.18000000000001,48,3,4.36
Lompoc,34.6391,-120.4579,50.30599999999998,82,1,6.69
Bentiu,9.2333,29.8333,71.69,22,90,2.8
Portel,-1.9356,-50.8211,74.58800000000002,93,98,1.6
Katobu,-4.9408,122.5276,91.868,49,84,1.87
Pitimbu,-7.4706,-34.8086,78.80000000000001,94,75,3.6
Sisimiut,66.9395,-53.6735,11.515999999999963,94,78,5.17
Martapura,-3.4167,114.85,91.39999999999992,66,40,4.12
Hamilton,39.1834,-84.5333,20.353999999999985,86,90,5.14
Atambua,-9.1061,124.8925,82.41800000000006,72,100,2.14
Oyotún,-6.8519,-79.3036,76.02800000000008,65,100,0.93
Sistranda,63.7256,8.834,15.799999999999955,86,20,5.66
Zambezi,-13.5432,23.1047,66.25399999999996,98,100,1.89
Waterford,42.7023,-83.4027,13.783999999999935,67,90,2.43
Belmonte,-15.8631,-38.8828,73.39999999999992,88,20,2.47
Ponta do Sol,32.6667,-17.1,57.037999999999954,77,20,1.54
Kottapalli,18.4833,79.1,80.31200000000007,35,47,1.56
Inhambane,-23.865,35.3833,80.29400000000004,78,40,4.12
Peñaflor,-33.6167,-70.9167,67.29799999999994,77,20,3.6
Nsoko,-27.0333,31.95,73.18399999999991,89,63,2.17
Departamento de Maldonado,-34.6667,-54.9167,68.68399999999991,94,75,5.14
Vila Velha,-20.3297,-40.2925,74.55200000000008,94,40,1.03
Iqaluit,63.7506,-68.5145,1.202000000000055,78,1,3.09
Sola,-13.8833,167.55,82.76000000000005,75,30,5.0
Tromsø,69.6496,18.957,26.276000000000067,93,90,2.57
Christchurch,-43.5333,172.6333,75.79400000000004,25,0,3.6
Port Augusta,-32.5,137.7667,102.52399999999994,11,99,10.8
Tasiilaq,65.6145,-37.6368,12.199999999999932,48,81,3.09
Elizabeth City,36.2946,-76.2511,42.22399999999999,76,90,3.09
Okhotsk,59.3833,143.3,24.548000000000002,92,100,2.19
Yulara,-25.2406,130.9889,94.99999999999994,38,40,5.14
Stephenville,32.2207,-98.2023,27.499999999999943,93,90,4.12
Srednekolymsk,67.45,153.6833,-16.27600000000001,88,46,0.96
Flinders,-34.5833,150.8552,79.43,59,0,1.79
Altay,47.8667,88.1167,13.136000000000024,80,65,0.46
Aleksandrovskoye,44.7142,43.0008,33.799999999999955,86,15,2.0
Sørland,67.667,12.6934,31.873999999999967,97,96,6.59
Butaritari,3.0707,172.7902,81.73399999999998,77,100,6.5
Ust-Nera,64.5667,143.2,8.041999999999973,84,38,1.96
Zanesville,39.9404,-82.0132,21.43399999999997,86,75,3.09
Saint-Pierre,-21.3393,55.4781,81.464,65,20,2.57
Arkhangelsk,64.5401,40.5433,-14.800000000000011,76,40,3.0
Laguna,38.421,-121.4238,54.82400000000001,71,1,3.6
Russell,32.3502,-85.1999,54.82400000000001,94,75,1.14
Jinka,5.65,36.65,70.79000000000002,54,86,1.81
Zelenogorskiy,55.0333,87.0,-16.600000000000023,69,0,6.0
Great Falls,47.5002,-111.3008,-18.418000000000006,69,1,2.61
Shonguy,68.7526,33.146,-4.0,84,40,1.0
Cidreira,-30.1811,-50.2056,73.07600000000008,83,47,5.98
San Ignacio,17.1561,-89.0714,72.26600000000002,78,0,3.09
Wanning,18.8003,110.3967,71.99600000000004,59,2,3.66
Pangody,65.85,74.4859,-18.382000000000005,87,100,5.25
Cairns,-16.9167,145.7667,83.98399999999998,74,75,3.6
Bethel,41.3712,-73.414,23.755999999999972,80,90,0.57
Maun,-19.9833,23.4167,67.99999999999994,100,90,3.09
Birin,26.8865,88.0718,61.68199999999996,45,0,2.67
Faya,18.3851,42.4509,48.18199999999996,81,0,0.79
Heyang,26.1011,107.473,53.20400000000001,73,74,2.16
Hithadhoo,-0.6,73.0833,82.00399999999996,80,23,5.5
Kirakira,-10.4544,161.9205,84.77600000000001,71,100,3.13
Cimitarra,6.3142,-73.9497,72.77000000000004,87,86,1.47
Dukat,62.55,155.55,4.118000000000052,91,42,2.35
Shellbrook,53.2168,-106.4011,-23.80000000000001,62,1,2.57
Camopi,3.1655,-52.3158,70.69999999999999,98,100,0.74
Ongandjera,-17.8833,15.0667,67.91000000000003,83,100,2.42
Dourbali,11.8091,15.8632,63.536,26,7,3.89
Dzaoudzi,-12.7887,45.2699,82.39999999999992,83,75,2.57
Martinho Campos,-19.3317,-45.2369,65.49799999999999,96,28,1.03
Grindavik,63.8424,-22.4338,35.599999999999966,93,90,9.77
Abatskiy,56.2875,70.4555,-20.956000000000017,85,0,2.62
Korla,41.7597,86.1469,40.98199999999997,57,100,2.9
Ogulin,45.2661,15.2286,40.136000000000024,81,75,1.54
Aswān,24.0934,32.907,63.62600000000003,33,44,4.14
Tual,-5.6667,132.75,84.07400000000001,77,92,5.11
San Policarpo,12.1791,125.5072,81.13999999999993,83,77,5.48
Soe,-9.8607,124.284,77.81,84,100,2.04
Vila,42.0304,-8.1588,51.00799999999998,96,100,5.81
Shimoda,34.6667,138.95,52.61000000000007,41,20,4.63
Kavaratti,10.5669,72.642,81.49999999999994,59,83,3.07
São Miguel,-5.4667,-35.3667,80.59999999999997,78,20,4.12
Gushikawa,26.3544,127.8686,62.38399999999996,82,90,10.29
Ahipara,-35.1667,173.1667,67.118,66,75,5.02
Kilrush,52.6397,-9.4833,33.799999999999955,64,75,8.75
Rundu,-17.9333,19.7667,66.07400000000001,96,100,1.95
Totness,5.8833,-56.3167,76.09999999999997,84,59,5.11
Djibouti,11.5,42.5,69.80000000000001,78,1,4.31
Richards Bay,-28.783,32.0377,77.18,77,98,0.99
Mayor Pablo Lagerenza,-19.9309,-60.7718,65.94800000000004,93,84,1.52
Salalah,17.0151,54.0924,75.19999999999999,41,0,6.17
Charlestown,-32.95,151.6667,77.95400000000001,44,20,4.63
Zhigansk,66.7697,123.3711,-10.353999999999985,87,100,2.99
Isangel,-19.55,169.2667,82.81400000000002,67,41,4.23
Zhezkazgan,47.8043,67.7144,3.0020000000000095,88,80,2.75
Avarua,-21.2078,-159.775,82.39999999999992,74,20,1.03
Soyo,-6.1349,12.3689,80.06,85,100,0.85
Lubao,14.9167,120.55,85.99999999999994,66,75,4.12
Nanortalik,60.1432,-45.2371,23.19799999999998,86,62,4.58
Rapid City,44.0805,-103.231,1.886000000000024,78,90,3.6
Bhilwara,25.35,74.6333,75.81200000000007,19,0,2.25
Ketchikan,55.3422,-131.6461,19.741999999999962,53,1,1.54
Port Blair,11.6667,92.75,82.18399999999991,54,88,4.69
Nhulunbuy,-12.2333,136.7667,85.99999999999994,70,75,5.66
Mossamedes,-15.1961,12.1522,71.56400000000002,76,100,1.08
Klaksvík,62.2266,-6.589,24.799999999999955,80,20,0.51
Hobyo,5.3505,48.5268,78.80000000000001,68,75,8.74
Tahoua,14.8888,5.2692,69.80000000000001,11,0,4.12
Tonantins,-2.8731,-67.8022,74.82199999999995,95,100,0.54
Kjøpsvik,68.097,16.3742,22.927999999999997,92,90,3.85
Hailun,47.45,126.9333,27.230000000000018,96,94,6.95
Kruisfontein,-34.0033,24.7314,71.00600000000003,91,9,0.89
Marolambo,-20.05,48.1167,68.27000000000004,83,100,0.84
Avera,33.194,-82.5271,60.27800000000008,97,90,0.81
Mach,29.8637,67.3298,66.43399999999991,22,44,2.1
Luanda,-8.8368,13.2343,78.80000000000001,83,40,2.06
Nyurba,63.2842,118.3319,-9.795999999999992,89,100,1.27
Fomboni,-12.28,43.7425,83.83999999999997,73,100,9.22
Ciudad de Allende,25.2833,-100.0167,66.632,68,75,2.57
Yārāda,17.65,83.2667,78.63799999999998,52,48,0.91
Sibolga,1.7427,98.7792,86.95400000000001,60,49,2.21
Denpasar,-8.65,115.2167,85.99999999999994,74,20,4.63
Auki,-8.7676,160.7034,81.44599999999997,83,96,4.72
Sergeevka,53.88,67.4158,-10.677999999999997,88,29,1.87
Mehamn,71.0357,27.8492,21.199999999999932,73,20,3.6
Mildura,-34.2,142.15,101.156,17,40,6.69
Chepareria,1.3077,35.2039,67.08199999999994,55,98,1.52
Berlevåg,70.8578,29.0864,21.199999999999932,73,20,3.6
Óbidos,-1.9175,-55.5181,73.92199999999997,93,99,1.08
Chapais,49.7834,-74.8492,-11.199999999999989,84,75,0.87
Karratha,-20.7377,116.8463,93.70400000000001,46,15,4.76
Port Hardy,50.6996,-127.4199,32.28800000000001,64,75,7.72
Río Gallegos,-51.6226,-69.2181,62.599999999999966,72,0,5.66
Kupang,-10.1667,123.5833,85.99999999999994,79,75,7.2
Nazas,25.2333,-104.1333,56.13799999999998,35,1,1.54
Bara,10.3744,10.7288,62.906000000000006,26,1,2.54
Jaisalmer,26.9147,70.9181,78.96200000000005,16,75,3.68
Grand-Lahou,5.1367,-5.0242,78.18800000000005,91,3,4.15
Tres Picos,15.8667,-93.5333,75.54199999999997,74,39,1.77
Vanderhoof,54.0166,-124.0198,-15.322000000000003,85,92,1.17
Poplar Bluff,36.757,-90.3929,21.739999999999952,93,90,6.17
São Raimundo Nonato,-9.0153,-42.6994,73.14799999999997,77,96,0.84
Fengzhen,40.4394,113.1536,46.436000000000035,50,99,7.3
Kiryat Gat,31.61,34.7642,49.98199999999997,87,0,0.51
Tabas,33.5959,56.9244,49.99999999999994,29,99,1.03
Derzhavīnsk,51.1,66.3167,-1.7320000000000277,92,91,3.82
Faizabad,26.7833,82.1333,72.536,44,0,2.08
Simbahan,6.3032,120.5836,83.12000000000006,72,33,2.68
Santa Inês,-3.6667,-45.38,72.69800000000004,97,100,1.17
Vardø,70.3705,31.1107,21.199999999999932,63,75,7.72
Pangani,-5.4333,38.9667,78.512,76,97,2.71
Noumea,-22.2763,166.4572,84.19999999999999,54,75,4.12
Kanniyākumāri,8.0833,77.5667,79.03399999999993,57,79,8.65
Omsukchan,62.5333,155.8,4.946000000000026,91,48,2.43
Bay Roberts,47.5999,-53.2648,18.805999999999983,73,90,11.32
Labuhan,-6.8844,112.2051,82.68800000000005,80,99,3.61
Banda Aceh,5.5577,95.3222,85.98200000000003,63,22,1.63
Clyde River,70.4692,-68.5914,3.199999999999932,92,0,18.01
Visnes,59.3556,5.2242,25.663999999999987,46,75,5.66
Pangnirtung,66.1451,-65.7125,3.829999999999984,70,0,1.03
Humaitá,-7.5061,-63.0208,73.68800000000005,98,100,0.35
Kahului,20.8947,-156.47,68.48600000000005,56,40,6.69
Moose Factory,51.2585,-80.6094,-14.800000000000011,76,40,3.09
Ribeira Grande,38.5167,-28.7,59.071999999999946,66,63,13.3
Zhenlai,45.8495,123.2973,34.52000000000004,84,81,7.24
Tura,25.5198,90.2201,78.584,28,0,1.52
Nelson Bay,-32.7167,152.15,80.72600000000006,44,20,4.63
Sioux Lookout,50.1001,-91.917,-25.600000000000023,75,75,1.12
Jinxi,30.4323,116.2922,53.491999999999905,83,100,1.61
Olafsvik,64.8945,-23.7142,35.47399999999999,89,100,8.52
Lüderitz,-26.6481,15.1594,65.82199999999995,80,83,2.79
Vostok,46.4856,135.8833,20.102000000000032,92,3,1.52
Orlik,52.5178,99.825,4.406000000000006,87,100,1.4
Denizli Province,37.8402,29.0698,40.99999999999994,70,0,3.09
Makakilo City,21.3469,-158.0858,73.57999999999998,50,90,2.57
Galeana,24.8333,-100.0667,56.80400000000003,79,52,0.41
Grand Gaube,-20.0064,57.6608,82.99400000000009,66,50,4.02
Athabasca,54.7169,-113.2854,-21.045999999999992,69,100,1.54
Alto Araguaia,-17.3147,-53.2153,67.94599999999997,84,100,1.51
Sinnamary,5.3833,-52.95,76.62200000000001,86,74,5.51
Hofn,64.2539,-15.2082,39.32600000000002,72,100,6.25
Mayumba,-3.432,10.6554,77.44999999999999,89,91,0.55
‘Ewa Beach,21.3156,-158.0072,73.70599999999996,50,90,2.57
Varhaug,58.6147,5.6457,16.663999999999987,67,0,1.54
Trincomalee,8.5711,81.2335,78.53000000000003,61,72,5.05
Porto Torres,40.835,8.3972,49.639999999999986,71,40,5.66
Mezen',65.8522,44.24,-9.831999999999994,91,64,2.26
Bridlington,54.0831,-0.1919,32.98999999999995,67,95,2.24
Birjand,32.8663,59.2211,40.99999999999994,30,0,2.06
Adeje,28.1227,-16.726,59.68399999999991,67,40,4.12
Asău,46.4333,26.4,35.00599999999997,74,100,1.59
Davila,18.4726,120.5763,82.39999999999992,74,75,2.57
Sur,22.5667,59.5289,75.61399999999998,52,96,2.61
Victor Harbor,-35.5667,138.6167,84.16400000000004,45,0,7.72
Dicabisagan,17.0818,122.4157,84.05599999999998,67,9,1.77
Altamira,-3.2033,-52.2064,72.66199999999998,95,100,0.72
Shingū,33.7333,135.9833,57.19999999999999,33,75,8.23
Yar-Sale,66.8333,70.8333,-19.336000000000013,87,98,6.72
São João do Paraíso,-15.3136,-42.0144,64.50799999999998,94,86,2.3
Nerópolis,-16.4064,-49.2186,68.01800000000009,83,75,2.06
Palmer,42.1584,-72.3287,17.276000000000067,73,90,0.58
Lensk,60.7253,114.9278,4.495999999999981,90,99,2.73
Salobreña,36.7428,-3.5872,52.952000000000055,96,17,0.45
Salekhard,66.53,66.6019,-18.74200000000002,83,100,1.99
Santander,43.4647,-3.8044,49.136000000000024,93,75,1.03
Marawi,7.9986,124.2928,82.99400000000009,84,57,3.58
Bonoua,5.2741,-3.595,80.59999999999997,94,20,2.57
Cotonou,6.3654,2.4183,82.39999999999992,89,40,5.14
Bagdarin,54.4333,113.6,14.720000000000027,87,100,3.92
Chilca,-12.5211,-76.7372,74.51600000000002,69,0,2.57
San Joaquin,37.9333,-121.3011,55.11200000000002,67,1,2.57
Bloomfield,40.8068,-74.1854,28.597999999999956,69,90,2.06
Šibenik,43.7272,15.9058,46.14799999999997,81,40,2.06
Rawson,-43.3002,-65.1023,67.964,62,0,13.77
San Jerónimo,-11.9472,-75.2829,49.910000000000025,71,100,0.07
Innisfail,-17.5333,146.0333,81.392,84,57,3.25
Talnakh,69.4865,88.3972,-16.581999999999994,82,0,1.03
Danville,36.586,-79.395,43.68199999999996,65,90,1.66
Ancud,-41.8697,-73.8203,61.214,88,0,2.06
